N_t,time_mean,time_std,memory_estimate,allocations,gc_percent
2,0.041984509,NaN,2.175569534301758e-6,45,0.0
4,0.062706272,NaN,2.175569534301758e-6,45,0.0
6,0.083861996,NaN,2.175569534301758e-6,45,0.0
8,0.103347727,NaN,2.175569534301758e-6,45,0.0
10,0.128555371,NaN,2.175569534301758e-6,45,0.0
12,0.147109281,NaN,2.175569534301758e-6,45,0.0
14,0.163222894,NaN,2.175569534301758e-6,45,0.0
16,0.185458854,NaN,2.175569534301758e-6,45,0.0
18,0.20581637,NaN,2.175569534301758e-6,45,0.0
20,0.23506528,NaN,2.175569534301758e-6,45,0.0
